epoch,train_rmse,val_rmse,val_mae,val_r2,val_out_of_bounds,learning_rate
1,17.06374242355411,16.94575795784552,14.16188907623291,0.6455336809158325,0.0,0.001
2,13.84225665536816,12.313835045201083,8.2337064743042,0.812828540802002,0.0,0.001
3,13.342176844104712,11.839728560474216,9.169079780578613,0.8269640207290649,0.2515310586176728,0.001
4,13.002071576100807,14.210646923329556,10.607413291931152,0.7507238984107971,0.0,0.001
5,12.759868817449226,9.813538923210402,6.486268520355225,0.8811212778091431,0.06561679790026247,0.001
6,12.511434356562887,9.857998916976843,6.628641128540039,0.8800416588783264,0.0,0.001
7,12.410191721854341,11.022859759874915,7.324941635131836,0.8500171899795532,0.0,0.001
8,12.087111007101003,10.009979215234203,6.8475117683410645,0.8763143420219421,0.0,0.001
9,12.013182321413742,11.196325846431979,8.124812126159668,0.8452594876289368,0.1968503937007874,0.001
10,11.840857918217774,10.029006569943789,6.957926273345947,0.8758437037467957,0.0,0.001
11,11.721275126775925,11.047377849342066,8.399682998657227,0.8493492007255554,0.0,0.0001
12,11.38392635648648,9.719143234252314,6.729248046875,0.8833972215652466,0.0,0.0001
13,11.203842832627334,9.74331874848756,6.652554512023926,0.8828164339065552,0.0,0.0001
14,11.142634071312632,9.542518655247795,6.513965606689453,0.8875967264175415,0.0,0.0001
15,11.126778707159525,9.405789708833655,6.262128829956055,0.8907947540283203,0.0,0.0001
16,11.109152796741443,9.3715821301745,6.170948028564453,0.8915876150131226,0.0,0.0001
17,11.06561887141469,9.491521354177715,6.390310764312744,0.8887948989868164,0.0,0.0001
18,11.04988689938125,9.689120035210479,6.694793224334717,0.8841164708137512,0.0,0.0001
19,11.013782657284644,9.236321010779989,5.926832675933838,0.8946945071220398,0.0,0.0001
20,11.016154480733745,9.45883077297207,6.242186546325684,0.8895596265792847,0.0,0.0001
21,10.938484366664053,9.616470060195168,6.639873027801514,0.885847806930542,0.0,0.0001
22,10.926315957220567,9.417391921556511,6.3018622398376465,0.8905251622200012,0.0,0.0001
23,10.8800683410987,9.452844745787282,6.381724834442139,0.8896993398666382,0.0,0.0001
24,10.893550120817293,9.482907360250195,6.360665798187256,0.8889967203140259,0.0,0.0001
25,10.876749009879088,9.514158495810937,6.470544815063477,0.8882638216018677,0.0,1e-05
26,10.788418265404644,9.494494661397198,6.488173007965088,0.888725221157074,0.0,1e-05
27,10.796697352560026,9.547664969313168,6.538710117340088,0.8874754309654236,0.0,1e-05
28,10.796427012527019,9.421662945677758,6.375885486602783,0.8904258608818054,0.0,1e-05
29,10.814022387451097,9.479030762786591,6.484452247619629,0.889087438583374,0.0,1e-05
30,10.785210104632494,9.419979393933657,6.35164213180542,0.8904650211334229,0.0,1e-05
31,10.808099792729097,9.537807408563795,6.498846530914307,0.8877077102661133,0.0,1.0000000000000002e-06
